Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_complete_registration (Unique users),af_complete_registration (Event counter),af_complete_registration (Sales in USD),af_purchase (Unique users),af_purchase (Event counter),af_purchase (Sales in USD),app_id,app_name,app_platform,report_type
2025-10-30,EC,None,moloco_int,OMA6_k73PfG_payout_sumdep,1,1,1.0000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,FR,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,FR,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,2,2,1.0000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,FR,None,moloco_int,PM47_yBWGyj_Olump_MountQuizmore_2710,2,1,0.5000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,IQ,None,moloco_int,PM47_yBWGyj_Olump_MountQuizmore_2710,2,2,1.0000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,NL,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,8,3,0.3750,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,NL,None,moloco_int,PM47_yBWGyj_Olump_MountQuizmore_2710,7,3,0.4286,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,NO,None,moloco_int,PM47_yBWGyj_Olump_MountQuizmore_2710,1,1,1.0000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,None,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,2,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
2025-10-30,None,None,moloco_int,OMA6_k73PfG_payout_sumdep,3,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report
